20-Jan-26 18:17:21 - Created path loss file ./logs/loss_log_20260120181721_.npy.npz
20-Jan-26 18:17:22 - Training model...
20-Jan-26 18:17:31 - Total Steps = 84218
20-Jan-26 18:17:32 - Input Features Shape: torch.Size([30, 4])
20-Jan-26 18:17:32 - Elevation Data Shape: torch.Size([30, 768])
20-Jan-26 18:17:32 - Path Loss Shape: torch.Size([30])
20-Jan-26 18:17:32 - extra_features_tokens.shape torch.Size([30, 512])
20-Jan-26 18:17:32 - Elevation Data Shape: torch.Size([30, 768])
20-Jan-26 18:17:32 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - score.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - hidden1.shape torch.Size([30, 768, 512])
20-Jan-26 18:17:32 - pooled_score.shape torch.Size([30, 512])
20-Jan-26 18:17:32 - hidden2.shape torch.Size([30, 2000])
20-Jan-26 18:17:32 - logits.shape torch.Size([30, 1])
20-Jan-26 19:22:55 - [Epoch=1 | Step=17200/84218] loss=0.0663
20-Jan-26 19:23:17 - [Epoch=1 | Step=17300/84218] loss=0.0878
20-Jan-26 19:23:38 - [Epoch=1 | Step=17400/84218] loss=0.9984
20-Jan-26 19:24:00 - [Epoch=1 | Step=17500/84218] loss=0.0198
20-Jan-26 19:24:22 - [Epoch=1 | Step=17600/84218] loss=0.0092
20-Jan-26 19:24:43 - [Epoch=1 | Step=17700/84218] loss=0.0247
20-Jan-26 19:25:04 - [Epoch=1 | Step=17800/84218] loss=2.4424
20-Jan-26 19:25:26 - [Epoch=1 | Step=17900/84218] loss=0.1014
20-Jan-26 19:25:48 - [Epoch=1 | Step=18000/84218] loss=0.0587
20-Jan-26 19:26:09 - [Epoch=1 | Step=18100/84218] loss=0.5814
20-Jan-26 19:26:31 - [Epoch=1 | Step=18200/84218] loss=0.2486
20-Jan-26 19:26:52 - [Epoch=1 | Step=18300/84218] loss=0.0066
20-Jan-26 19:27:13 - [Epoch=1 | Step=18400/84218] loss=0.2919
20-Jan-26 19:27:35 - [Epoch=1 | Step=18500/84218] loss=0.9443
20-Jan-26 19:27:56 - [Epoch=1 | Step=18600/84218] loss=0.0362
20-Jan-26 19:28:18 - [Epoch=1 | Step=18700/84218] loss=0.2162
20-Jan-26 19:28:39 - [Epoch=1 | Step=18800/84218] loss=0.0021
20-Jan-26 19:29:01 - [Epoch=1 | Step=18900/84218] loss=0.5984
20-Jan-26 19:29:22 - [Epoch=1 | Step=19000/84218] loss=0.0033
20-Jan-26 19:29:43 - [Epoch=1 | Step=19100/84218] loss=0.2817
20-Jan-26 19:30:05 - [Epoch=1 | Step=19200/84218] loss=0.0218
20-Jan-26 19:30:26 - [Epoch=1 | Step=19300/84218] loss=0.1717
20-Jan-26 19:30:48 - [Epoch=1 | Step=19400/84218] loss=1.7439
20-Jan-26 19:31:09 - [Epoch=1 | Step=19500/84218] loss=0.0456
20-Jan-26 19:31:30 - [Epoch=1 | Step=19600/84218] loss=0.2633
20-Jan-26 19:31:51 - [Epoch=1 | Step=19700/84218] loss=0.0457
20-Jan-26 19:32:13 - [Epoch=1 | Step=19800/84218] loss=0.5383
20-Jan-26 19:32:34 - [Epoch=1 | Step=19900/84218] loss=0.3063
20-Jan-26 19:32:56 - [Epoch=1 | Step=20000/84218] loss=0.2555
20-Jan-26 19:33:17 - [Epoch=1 | Step=20100/84218] loss=0.0220
20-Jan-26 19:33:39 - [Epoch=1 | Step=20200/84218] loss=0.5820
20-Jan-26 19:34:00 - [Epoch=1 | Step=20300/84218] loss=0.3281
20-Jan-26 19:34:22 - [Epoch=1 | Step=20400/84218] loss=0.0374
20-Jan-26 19:34:44 - [Epoch=1 | Step=20500/84218] loss=0.1167
20-Jan-26 19:35:05 - [Epoch=1 | Step=20600/84218] loss=0.0003
20-Jan-26 19:35:26 - [Epoch=1 | Step=20700/84218] loss=0.9123
20-Jan-26 19:35:48 - [Epoch=1 | Step=20800/84218] loss=0.2004
20-Jan-26 19:36:09 - [Epoch=1 | Step=20900/84218] loss=0.0111
20-Jan-26 19:36:30 - [Epoch=1 | Step=21000/84218] loss=0.1069
20-Jan-26 19:36:52 - [Epoch=1 | Step=21100/84218] loss=0.1307
20-Jan-26 19:37:14 - [Epoch=1 | Step=21200/84218] loss=0.0085
20-Jan-26 19:37:35 - [Epoch=1 | Step=21300/84218] loss=0.0313
20-Jan-26 19:37:57 - [Epoch=1 | Step=21400/84218] loss=0.0065
20-Jan-26 19:38:18 - [Epoch=1 | Step=21500/84218] loss=0.0240
20-Jan-26 19:38:39 - [Epoch=1 | Step=21600/84218] loss=0.0003
20-Jan-26 19:39:01 - [Epoch=1 | Step=21700/84218] loss=0.0279
20-Jan-26 19:39:22 - [Epoch=1 | Step=21800/84218] loss=0.3081
20-Jan-26 19:39:44 - [Epoch=1 | Step=21900/84218] loss=0.0004
20-Jan-26 19:40:05 - [Epoch=1 | Step=22000/84218] loss=1.6193
20-Jan-26 19:40:26 - [Epoch=1 | Step=22100/84218] loss=0.0007
20-Jan-26 19:40:48 - [Epoch=1 | Step=22200/84218] loss=0.2059
20-Jan-26 19:41:09 - [Epoch=1 | Step=22300/84218] loss=0.1289
20-Jan-26 19:41:31 - [Epoch=1 | Step=22400/84218] loss=0.0362
20-Jan-26 19:41:52 - [Epoch=1 | Step=22500/84218] loss=0.0069
20-Jan-26 19:42:13 - [Epoch=1 | Step=22600/84218] loss=0.1335
20-Jan-26 19:42:35 - [Epoch=1 | Step=22700/84218] loss=0.0010
20-Jan-26 19:42:56 - [Epoch=1 | Step=22800/84218] loss=0.0722
20-Jan-26 19:43:18 - [Epoch=1 | Step=22900/84218] loss=0.0003
20-Jan-26 19:43:40 - [Epoch=1 | Step=23000/84218] loss=0.0673
20-Jan-26 19:44:01 - [Epoch=1 | Step=23100/84218] loss=0.2278
20-Jan-26 19:44:23 - [Epoch=1 | Step=23200/84218] loss=0.3323
20-Jan-26 19:44:45 - [Epoch=1 | Step=23300/84218] loss=0.4082
20-Jan-26 19:45:06 - [Epoch=1 | Step=23400/84218] loss=0.1943
20-Jan-26 19:45:28 - [Epoch=1 | Step=23500/84218] loss=0.0813
20-Jan-26 19:45:50 - [Epoch=1 | Step=23600/84218] loss=0.2573
20-Jan-26 19:46:11 - [Epoch=1 | Step=23700/84218] loss=0.0216
20-Jan-26 19:46:33 - [Epoch=1 | Step=23800/84218] loss=0.0007
20-Jan-26 19:46:54 - [Epoch=1 | Step=23900/84218] loss=0.0001
20-Jan-26 19:47:16 - [Epoch=1 | Step=24000/84218] loss=0.0049
20-Jan-26 19:47:38 - [Epoch=1 | Step=24100/84218] loss=0.0262
20-Jan-26 19:47:59 - [Epoch=1 | Step=24200/84218] loss=0.0470
20-Jan-26 19:48:21 - [Epoch=1 | Step=24300/84218] loss=0.2910
20-Jan-26 19:48:42 - [Epoch=1 | Step=24400/84218] loss=0.0034
20-Jan-26 19:49:03 - [Epoch=1 | Step=24500/84218] loss=1.4279
20-Jan-26 19:49:25 - [Epoch=1 | Step=24600/84218] loss=0.2064
20-Jan-26 19:49:47 - [Epoch=1 | Step=24700/84218] loss=0.3291
20-Jan-26 19:50:09 - [Epoch=1 | Step=24800/84218] loss=0.5451
20-Jan-26 19:50:30 - [Epoch=1 | Step=24900/84218] loss=0.0615
20-Jan-26 19:50:51 - [Epoch=1 | Step=25000/84218] loss=0.0469
20-Jan-26 19:51:13 - [Epoch=1 | Step=25100/84218] loss=0.0070
20-Jan-26 19:51:34 - [Epoch=1 | Step=25200/84218] loss=0.0361
20-Jan-26 19:51:55 - [Epoch=1 | Step=25300/84218] loss=0.0119
20-Jan-26 19:52:17 - [Epoch=1 | Step=25400/84218] loss=0.0149
20-Jan-26 19:52:39 - [Epoch=1 | Step=25500/84218] loss=0.0636
20-Jan-26 19:53:00 - [Epoch=1 | Step=25600/84218] loss=1.1642
20-Jan-26 19:53:22 - [Epoch=1 | Step=25700/84218] loss=0.1259
