21-Jan-26 10:16:54 - Created path loss file ./logs/loss_log_20260121101654_.npy.npz
21-Jan-26 10:16:56 - Training model...
21-Jan-26 10:17:08 - Total Steps = 84218
21-Jan-26 10:17:08 - Input Features Shape: torch.Size([30, 4])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - Path Loss Shape: torch.Size([30])
21-Jan-26 10:17:08 - extra_features_tokens.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - Elevation Data Shape: torch.Size([30, 768])
21-Jan-26 10:17:08 - pos_embedded_tokens.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - score.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - hidden1.shape torch.Size([30, 768, 512])
21-Jan-26 10:17:08 - pooled_score.shape torch.Size([30, 512])
21-Jan-26 10:17:08 - hidden2.shape torch.Size([30, 2000])
21-Jan-26 10:17:08 - logits.shape torch.Size([30, 1])
21-Jan-26 10:57:09 - [Epoch=1 | Step=10800/84218] loss=0.0344
21-Jan-26 10:57:31 - [Epoch=1 | Step=10900/84218] loss=0.3454
21-Jan-26 10:57:53 - [Epoch=1 | Step=11000/84218] loss=0.1004
21-Jan-26 10:58:15 - [Epoch=1 | Step=11100/84218] loss=0.0611
21-Jan-26 10:58:37 - [Epoch=1 | Step=11200/84218] loss=0.6611
21-Jan-26 10:59:00 - [Epoch=1 | Step=11300/84218] loss=0.1200
21-Jan-26 10:59:22 - [Epoch=1 | Step=11400/84218] loss=0.1881
21-Jan-26 10:59:45 - [Epoch=1 | Step=11500/84218] loss=0.0388
21-Jan-26 11:00:07 - [Epoch=1 | Step=11600/84218] loss=0.0747
21-Jan-26 11:00:29 - [Epoch=1 | Step=11700/84218] loss=0.0161
21-Jan-26 11:00:51 - [Epoch=1 | Step=11800/84218] loss=0.6795
21-Jan-26 11:01:14 - [Epoch=1 | Step=11900/84218] loss=0.1027
21-Jan-26 11:01:36 - [Epoch=1 | Step=12000/84218] loss=0.0160
21-Jan-26 11:01:58 - [Epoch=1 | Step=12100/84218] loss=0.0148
21-Jan-26 11:02:20 - [Epoch=1 | Step=12200/84218] loss=0.0744
21-Jan-26 11:02:42 - [Epoch=1 | Step=12300/84218] loss=0.0125
21-Jan-26 11:03:04 - [Epoch=1 | Step=12400/84218] loss=0.0011
21-Jan-26 11:03:27 - [Epoch=1 | Step=12500/84218] loss=0.0041
21-Jan-26 11:03:49 - [Epoch=1 | Step=12600/84218] loss=0.0025
21-Jan-26 11:04:11 - [Epoch=1 | Step=12700/84218] loss=0.0145
21-Jan-26 11:04:33 - [Epoch=1 | Step=12800/84218] loss=0.2694
21-Jan-26 11:04:55 - [Epoch=1 | Step=12900/84218] loss=0.0013
21-Jan-26 11:05:17 - [Epoch=1 | Step=13000/84218] loss=0.0314
21-Jan-26 11:05:39 - [Epoch=1 | Step=13100/84218] loss=0.0346
